1,2,Trans,Match,Major
II,V7,II-V7,Yes,Major
V7,I,V7-I,Yes,Major
V43,I,V43-I,Yes,Major
I,V65,I-V65,Yes,Major
V65,V43,V65-V43,Yes,Major
V43,II6,V43-II6,Yes,Major
VI6,II,VI6-II,Yes,Major
II,V65,II-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V64,I-V64,Yes,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
III6,VI,III6-VI,No,Major
IV,I64,IV-I64,No,Major
I,VI,I-VI,Yes,Major
II,V,II-V,Yes,Major
V,V42,V-V42,Yes,Major
V42,I6,V42-I6,Yes,Major
I6,V43,I6-V43,Yes,Major
V43,I,V43-I,Yes,Major
I,VI,I-VI,Yes,Major
VI,II,VI-II,Yes,Major
II,V,II-V,Yes,Major
V,II7,V-II7,Yes,Major
II7,V,II7-V,Yes,Major
V,I,V-I,Yes,Major
bVI,itaVI,bVI-itaVI,Yes,Major
itaVI,VI,itaVI-VI,Yes,Major
II,I6,II-I6,Yes,Major
I6,V43,I6-V43,Yes,Major
V43,I,V43-I,Yes,Major
I,II6,I-II6,Yes,Major
II6,V,II6-V,Yes,Major
VI,V64,VI-V64,Yes,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
V,III,V-III,No,Major
IV,II,IV-II,No,Major
V,III,V-III,No,Major
IV,II,IV-II,No,Major
III,VI,III-VI,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
VI,V6,VI-V6,No,Major
V,VI6,V-VI6,No,Major
II,I64,II-I64,No,Major
V,V7,V-V7,Yes,Major
V7,I6,V7-I6,Yes,Major
IV,V,IV-V,Yes,Major
V,VI,V-VI,Yes,Major
V,I,V-I,Yes,Major
I,II,I-II,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
I,V43,I-V43,Yes,Major
V43,I,V43-I,Yes,Major
I,gerVI,I-gerVI,Yes,Major
gerVI,I,gerVI-I,Yes,Major
III,V43,III-V43,Yes,Major
V43,V7,V43-V7,Yes,Major
V7,V43,V7-V43,Yes,Major
V43,V43,V43-V43,Yes,Major
V43,V43,V43-V43,Yes,Major
V43,I,V43-I,Yes,Major
I,V7,I-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,I6,I-I6,Yes,Major
I6,I,I6-I,Yes,Major
I,gerVI,I-gerVI,Yes,Major
bII,bII6,bII-bII6,No,Major
bVI,bVI6,bVI-bVI6,No,Major
V,V6,V-V6,No,Major
IV,IV6,IV-IV6,No,Major
bII6,bII,bII6-bII,No,Major
bVI6,bVI,bVI6-bVI,No,Major
V6,V,V6-V,No,Major
IV6,IV,IV6-IV,No,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
V64,V7,V64-V7,Yes,Major
V7,I,V7-I,Yes,Major
I,I,I-I,Yes,Major
I,I6,I-I6,Yes,Major
I6,II7,I6-II7,Yes,Major
II7,V6,II7-V6,Yes,Major
bII,bII,bII-bII,No,Major
bVI,bVI,bVI-bVI,No,Major
V,V,V-V,No,Major
IV,IV,IV-IV,No,Major
bII,bII6,bII-bII6,No,Major
bVI,bVI6,bVI-bVI6,No,Major
V,V6,V-V6,No,Major
IV,IV6,IV-IV6,No,Major
I6,II7,I6-II7,Yes,Major
II7,VII6,II7-VII6,Yes,Major
VII6,II6,VII6-II6,Yes,Major
II6,V64,II6-V64,Yes,Major
